   0.000000000E+00   0.171849944E+05  -0.480624731E+01  -0.537145843E+01  -0.518131768E+01  -0.487624731E+01  -0.461871212E+01  -0.435364175E+01  -0.617392325E+01  -0.513131768E+01  -0.503378250E+01  -0.501624731E+01  -0.497871212E+01
   0.220371582E+02   0.171853767E+05  -0.480629191E+01  -0.537152252E+01  -0.518136878E+01  -0.487629191E+01  -0.461875348E+01  -0.435367661E+01  -0.617398408E+01  -0.513136878E+01  -0.503383035E+01  -0.501629191E+01  -0.497875348E+01
   0.100277962E+05   0.392037296E+05  -0.139177775E+02  -0.149492030E+02  -0.145234902E+02  -0.140277775E+02  -0.136677775E+02  -0.133320647E+02  -0.157292030E+02  -0.145034902E+02  -0.142377775E+02  -0.141277775E+02  -0.140020647E+02
   0.200614084E+05   0.265239210E+05  -0.143980429E+02  -0.152672166E+02  -0.149176297E+02  -0.144978363E+02  -0.141680429E+02  -0.138582494E+02  -0.160572166E+02  -0.148876297E+02  -0.146878363E+02  -0.146080429E+02  -0.145082494E+02
   0.301085842E+05   0.212449380E+05  -0.145723741E+02  -0.153020655E+02  -0.150282507E+02  -0.146603124E+02  -0.143623741E+02  -0.140744358E+02  -0.161020655E+02  -0.149961889E+02  -0.148303124E+02  -0.147823741E+02  -0.147144358E+02
   0.401215233E+05   0.176969712E+05  -0.146697344E+02  -0.152602659E+02  -0.150567554E+02  -0.147414896E+02  -0.144797344E+02  -0.142079791E+02  -0.160620211E+02  -0.150067554E+02  -0.149032449E+02  -0.148814896E+02  -0.148379791E+02
   0.504214271E+05   0.155036743E+05  -0.146890824E+02  -0.151584926E+02  -0.150274011E+02  -0.147590824E+02  -0.145163095E+02  -0.142735366E+02  -0.159684926E+02  -0.149701740E+02  -0.149018553E+02  -0.149063095E+02  -0.148835366E+02
   0.605910295E+05   0.140822789E+05  -0.146801862E+02  -0.150414791E+02  -0.149663164E+02  -0.147401862E+02  -0.145211537E+02  -0.142830886E+02  -0.158524466E+02  -0.148963164E+02  -0.148682513E+02  -0.148901862E+02  -0.148921211E+02
   0.707840823E+05   0.130849959E+05  -0.146528461E+02  -0.149192684E+02  -0.148968116E+02  -0.147113375E+02  -0.145058634E+02  -0.142873720E+02  -0.157407771E+02  -0.148253030E+02  -0.148198289E+02  -0.148643548E+02  -0.148858634E+02
   0.808107918E+05   0.123089052E+05  -0.146186334E+02  -0.148062751E+02  -0.148274543E+02  -0.146683976E+02  -0.144888692E+02  -0.142791050E+02  -0.156362751E+02  -0.147472184E+02  -0.147681617E+02  -0.148383976E+02  -0.148688692E+02
   0.914159815E+05   0.116550289E+05  -0.145853332E+02  -0.146942800E+02  -0.147548066E+02  -0.146272279E+02  -0.144634385E+02  -0.142615438E+02  -0.155242800E+02  -0.146667013E+02  -0.147191225E+02  -0.147972279E+02  -0.148434385E+02
   0.101680675E+06   0.110552611E+05  -0.145472569E+02  -0.145744652E+02  -0.146730069E+02  -0.145815486E+02  -0.144329652E+02  -0.142443819E+02  -0.154044652E+02  -0.145830069E+02  -0.146658402E+02  -0.147572569E+02  -0.148186736E+02
   0.112192370E+06   0.104432229E+05  -0.144953134E+02  -0.144327750E+02  -0.145798449E+02  -0.145253134E+02  -0.143930476E+02  -0.142207819E+02  -0.152666421E+02  -0.144859778E+02  -0.145975791E+02  -0.147091805E+02  -0.147869148E+02
   0.122680819E+06   0.987725768E+04  -0.144503171E+02  -0.142966427E+02  -0.144993904E+02  -0.144784960E+02  -0.143639593E+02  -0.142076015E+02  -0.151366427E+02  -0.143975693E+02  -0.145348538E+02  -0.146703171E+02  -0.147657804E+02
   0.132750351E+06   0.939098104E+04  -0.144128648E+02  -0.141653982E+02  -0.144186494E+02  -0.144338289E+02  -0.143409366E+02  -0.141990083E+02  -0.150053982E+02  -0.143096135E+02  -0.144757571E+02  -0.146328648E+02  -0.147499724E+02
