  0.0000000000E+000 0000
  0.2231708271E+002 0000
  0.1007223516E+005 0000
  0.2016488642E+005 0000
  0.3023594904E+005 0000
  0.4036608956E+005 0000
  0.5057143925E+005 0000
  0.6082782772E+005 0000
  0.7111930462E+005 0000
  0.8125417286E+005 0000
  0.9199465781E+005 0000
  0.1023931100E+006 0000
  0.1130491895E+006 0000
  0.1236845443E+006 0000
  0.1338836701E+006 0000
  0.1441590433E+006 0000
  0.1536883595E+006 0000
  0.1636668245E+006 0000
  0.1745497810E+006 0000
  0.1848551839E+006 0000
  0.1953735165E+006 0000
  0.2053082206E+006 0000
  0.2160706174E+006 0000
  0.2262358434E+006 0000
  0.2363290028E+006 0000
  0.2460790265E+006 0000
  0.2568898384E+006 0000
  0.2669115155E+006 0000
  0.2776440892E+006 0000
  0.2876842771E+006 0000
  0.2979257560E+006 0000
  0.3082181323E+006 0000
  0.3195577758E+006 0000
  0.3311247625E+006 0000
  0.3418851708E+006 0000
  0.3511176076E+006 0000
  0.3617872379E+006 0000
  0.3724848716E+006 0000
  0.3832707109E+006 0000
  0.3933261229E+006 0000
  0.4045864846E+006 0000
  0.4160726001E+006 0000
  0.4260538772E+006 0000
  0.4361426628E+006 0000
  0.4465313047E+006 0000
  0.4574589048E+006 0000
  0.4679081043E+006 0000
  0.4779112124E+006 0000
  0.4893723875E+006 0000
  0.5004117356E+006 0000
  0.5114446951E+006 0000
  0.5211336282E+006 0000
  0.5309162037E+006 0000
  0.5416690838E+006 0000
  0.5517282681E+006 0000
  0.5619891243E+006 0000
  0.5736597298E+006 0000
  0.5831988237E+006 0000
  0.5934416978E+006 0000
  0.6050918507E+006 0000
  0.6141141462E+006 0000
  0.6244735114E+006 0000
  0.6351913854E+006 0000
  0.6459976319E+006 0000
  0.6573039830E+006 0000
  0.6671872189E+006 0000
  0.6777114225E+006 0000
  0.6887226779E+006 0000
  0.6970865928E+006 0000
  0.7076125231E+006 0000
  0.7183237407E+006 0000
  0.7287266452E+006 0000
  0.7393381128E+006 0000
  0.7499302441E+006 0000
  0.7610797338E+006 0000
  0.7714504050E+006 0000
  0.7827672783E+006 0000
  0.7919442993E+006 0000
  0.8027175242E+006 0000
  0.8127957408E+006 0000
  0.8230760109E+006 0000
  0.8347686977E+006 0000
  0.8458402352E+006 0000
  0.8569786374E+006 0000
  0.8670435350E+006 0000
  0.9175747118E+006 0000
  0.9675922902E+006 0000
  0.1019617388E+007 0000
  0.1068918864E+007 0000
  0.1119720702E+007 0000
  0.1169794351E+007 0000
  0.1219181086E+007 0000
  0.1271776449E+007 0000
  0.1321389941E+007 0000
  0.1372703215E+007 0000
  0.1423120050E+007 0000
  0.1473727230E+007 0000
  0.1526371551E+007 0000
  0.1575671663E+007 0000
  0.1627808188E+007 0000
  0.1676837932E+007 0000
  0.1730370225E+007 0000
  0.1828765564E+007 0000
  0.1929067569E+007 0000
  0.2031091556E+007 0000
  0.2133012959E+007 0000
  0.2235004504E+007 0000
  0.2336878428E+007 0000
  0.2438144150E+007 0000
  0.2539002878E+007 0000
  0.2639192569E+007 0000
  0.2738996355E+007 0000
  0.2838713018E+007 0000
  0.2940556738E+007 0000
  0.3041788128E+007 0000
  0.3145695580E+007 0000
  0.3248437000E+007 0000
  0.3346967079E+007 0000
  0.3449123407E+007 0000
  0.3551486105E+007 0000
  0.3654199673E+007 0000
  0.3757025876E+007 0000
  0.3856907155E+007 0000
  0.3958013176E+007 0000
  0.4057674727E+007 0000
  0.4161304416E+007 0000
  0.4263175374E+007 0000
  0.4366198303E+007 0000
  0.4468342823E+007 0000
  0.4569552866E+007 0000
  0.4673601971E+007 0000
  0.4778154564E+007 0000
  0.4878981308E+007 0000
  0.4982003076E+007 0000
  0.5000000000E+007 0000
