# nt  time_s  time_d  dtime  blstep_ms  iters  scratches  Ni  analysis
       0   0.0000000E+00   0.0000000E+00   1.0250000E-08      3.4580    2    0  T  T
       1   1.0250000E-08   1.1863426E-13   1.0250000E-08      0.1040    2    0  F  F
       2   2.0500000E-08   2.3726852E-13   1.0506250E-08      0.1020    2    0  F  F
       3   3.1006250E-08   3.5886863E-13   1.0768906E-08      0.1010    2    0  F  F
       4   4.1775156E-08   4.8350875E-13   1.1038129E-08      0.1030    2    0  F  F
       5   5.2813285E-08   6.1126487E-13   1.1314082E-08      0.1010    2    0  F  F
       6   6.4127367E-08   7.4221490E-13   1.1596934E-08      0.1030    2    0  F  F
       7   7.5724301E-08   8.7643867E-13   1.1886858E-08      0.1030    2    0  F  F
       8   8.7611159E-08   1.0140180E-12   1.2184029E-08      0.1040    2    0  F  F
       9   9.9795188E-08   1.1550369E-12   1.2488630E-08      0.1030    2    0  F  F
      10   1.1228382E-07   1.2995812E-12   1.2800845E-08      0.1030    2    0  F  F
      11   1.2508466E-07   1.4477392E-12   1.3120867E-08      0.0990    2    0  F  F
      12   1.3820553E-07   1.5996010E-12   1.3448888E-08      0.0990    2    0  F  F
      13   1.5165442E-07   1.7552595E-12   1.3785110E-08      0.1000    2    0  F  F
      14   1.6543953E-07   1.9148094E-12   1.4129738E-08      0.0960    2    0  F  F
      15   1.7956927E-07   2.0783480E-12   1.4482982E-08      0.0960    2    0  F  F
      16   1.9405225E-07   2.2459751E-12   1.4845056E-08      0.0970    2    0  F  F
      17   2.0889730E-07   2.4177929E-12   1.5216183E-08      0.0980    2    0  F  F
      18   2.2411349E-07   2.5939061E-12   1.5596587E-08      0.0980    2    0  F  F
      19   2.3971007E-07   2.7744222E-12   1.5986502E-08      0.0960    2    0  F  F
      20   2.5569658E-07   2.9594511E-12   1.6386164E-08      0.0990    2    0  F  F
      21   2.7208274E-07   3.1491058E-12   1.6795819E-08      0.0970    2    0  F  F
      22   2.8887856E-07   3.3435018E-12   1.7215714E-08      0.0980    2    0  F  F
      23   3.0609427E-07   3.5427578E-12   1.7646107E-08      0.0980    2    0  F  F
      24   3.2374038E-07   3.7469951E-12   1.8087259E-08      0.0990    2    0  F  F
      25   3.4182764E-07   3.9563384E-12   1.8539441E-08      0.0980    2    0  F  F
      26   3.6036708E-07   4.1709153E-12   1.9002927E-08      0.1000    2    0  F  F
      27   3.7937001E-07   4.3908566E-12   1.9478000E-08      0.0990    2    0  F  F
      28   3.9884801E-07   4.6162964E-12   1.9964950E-08      0.0990    2    0  F  F
      29   4.1881296E-07   4.8473722E-12   2.0464074E-08      0.0990    2    0  F  F
      30   4.3927703E-07   5.0842249E-12   2.0975676E-08      0.0970    2    0  F  F
      31   4.6025271E-07   5.3269989E-12   2.1500068E-08      0.0970    2    0  F  F
      32   4.8175278E-07   5.5758423E-12   2.2037569E-08      0.0970    2    0  F  F
      33   5.0379034E-07   5.8309068E-12   2.2588509E-08      0.0970    2    0  F  F
      34   5.2637885E-07   6.0923478E-12   2.3153221E-08      0.0990    2    0  F  F
      35   5.4953207E-07   6.3603249E-12   2.3732052E-08      0.0960    2    0  F  F
      36   5.7326413E-07   6.6350015E-12   2.4325353E-08      0.0960    2    0  F  F
      37   5.9758948E-07   6.9165449E-12   2.4933487E-08      0.0970    2    0  F  F
      38   6.2252297E-07   7.2051269E-12   2.5556824E-08      0.0970    2    0  F  F
      39   6.4807979E-07   7.5009235E-12   2.6195745E-08      0.0970    2    0  F  F
      40   6.7427554E-07   7.8041150E-12   2.6850638E-08      0.0970    2    0  F  F
      41   7.0112617E-07   8.1148863E-12   2.7521904E-08      0.0960    2    0  F  F
      42   7.2864808E-07   8.4334268E-12   2.8209952E-08      0.0960    2    0  F  F
      43   7.5685803E-07   8.7599309E-12   2.8915201E-08      0.0960    2    0  F  F
      44   7.8577323E-07   9.0945976E-12   2.9638081E-08      0.0960    2    0  F  F
      45   8.1541131E-07   9.4376309E-12   3.0379033E-08      0.0960    2    0  F  F
      46   8.4579034E-07   9.7892401E-12   3.1138509E-08      0.0970    2    0  F  F
      47   8.7692885E-07   1.0149640E-11   3.1916971E-08      0.0960    2    0  F  F
      48   9.0884582E-07   1.0519049E-11   3.2714896E-08      0.0970    2    0  F  F
      49   9.4156072E-07   1.0897694E-11   3.3532768E-08      0.0970    2    0  F  F
      50   9.7509349E-07   1.1285804E-11   3.4371087E-08      0.0970    2    0  F  F
      51   1.0094646E-06   1.1683618E-11   3.5230364E-08      0.0970    2    0  F  F
      52   1.0446949E-06   1.2091377E-11   3.6111123E-08      0.0970    2    0  F  F
      53   1.0808061E-06   1.2509329E-11   3.7013902E-08      0.0980    2    0  F  F
      54   1.1178200E-06   1.2937731E-11   3.7939249E-08      0.0970    2    0  F  F
      55   1.1557592E-06   1.3376843E-11   3.8887730E-08      0.0970    2    0  F  F
      56   1.1946469E-06   1.3826932E-11   3.9859924E-08      0.0970    2    0  F  F
      57   1.2345069E-06   1.4288274E-11   4.0856422E-08      0.0970    2    0  F  F
      58   1.2753633E-06   1.4761149E-11   4.1877832E-08      0.0970    2    0  F  F
